::1 - - [26/Sep/2022:04:11:50 +0000] "GET /feastwell-backend/api/v1/userFacility HTTP/1.1" 200 3570 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:13:29 +0000] "PUT /feastwell-backend/api/v1/userFacility/120 HTTP/1.1" 401 49 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:13:38 +0000] "PUT /feastwell-backend/api/v1/userFacility/120 HTTP/1.1" 200 56 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:23:57 +0000] "GET /feastwell-backend/api/v1/country HTTP/1.1" 200 83959 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:24:47 +0000] "GET /feastwell-backend/api/v1/country/101 HTTP/1.1" 200 269 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:27:56 +0000] "POST /feastwell-backend/api/v1/country HTTP/1.1" 401 49 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:28:04 +0000] "POST /feastwell-backend/api/v1/country HTTP/1.1" 200 79 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:30:04 +0000] "GET /feastwell-backend/api/v1/country/126 HTTP/1.1" 200 276 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:30:08 +0000] "GET /feastwell-backend/api/v1/country/256 HTTP/1.1" 200 134 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:31:14 +0000] "PUT /feastwell-backend/api/v1/country/256 HTTP/1.1" 200 56 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:33:11 +0000] "GET /feastwell-backend/api/v1/state HTTP/1.1" 404 36 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:33:22 +0000] "GET /feastwell-backend/api/v1/states HTTP/1.1" 200 385571 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:33:58 +0000] "GET /feastwell-backend/api/v1/states?countryId=101 HTTP/1.1" 401 49 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:34:15 +0000] "GET /feastwell-backend/api/v1/states HTTP/1.1" 200 385571 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:34:45 +0000] "GET /feastwell-backend/api/v1/states/4086 HTTP/1.1" 404 36 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:35:14 +0000] "GET /feastwell-backend/api/v1/states/byStateId/4006 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:36:05 +0000] "GET /feastwell-backend/api/v1/states/byCountryId/101 HTTP/1.1" 200 2696 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:37:00 +0000] "DELETE /feastwell-backend/api/v1/country/256 HTTP/1.1" 200 47 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Sep/2022:04:59:45 +0000] "POST /feastwell-backend/api/v1/states HTTP/1.1" 404 46 "-" "PostmanRuntime/7.29.2"
